cutoffs,nll_mode,nll_mode_fixed,n,min_n,num_cutoffs,k_varying,k_fixed,aic_varying,aic_fixed,bic_varying,bic_fixed
"(2, 11, 16)",80799.60952295043,80985.29427712807,"[3972, 16023, 5589, 2944]",2944,3,12,8,80811.60952295043,80993.29427712807,80803.76840603379,80988.0668658503
"(3, 13, 14)",80799.88506072258,80992.47752206639,"[5996, 16567, 1104, 4861]",1104,3,12,8,80811.88506072258,81000.47752206639,80804.04394380594,80995.25011078862
"(2, 11, 17)",80799.98074517098,80985.60658068537,"[3972, 16023, 6424, 2109]",2109,3,12,8,80811.98074517098,80993.60658068537,80804.13962825434,80988.3791694076
"(2, 11, 19)",80800.41500511445,80985.43769945961,"[3972, 16023, 7893, 640]",640,3,12,8,80812.41500511445,80993.43769945961,80804.57388819782,80988.21028818184
"(2, 11, 12)",80801.20181035658,80985.60396789,"[3972, 16023, 1340, 7193]",1340,3,12,8,80813.20181035658,80993.60396789,80805.36069343994,80988.37655661223
"(1, 9, 13)",80801.2816346696,80975.64287878916,"[1967, 15031, 5565, 5965]",1967,3,12,8,80813.2816346696,80983.64287878916,80805.44051775297,80978.4154675114
"(9, 10, 18)",80801.46515041475,80971.2651014457,"[16998, 1551, 8638, 1341]",1341,3,12,8,80813.46515041475,80979.2651014457,80805.62403349811,80974.03769016793
"(1, 9, 18)",80801.6707574361,80975.13510676922,"[1967, 15031, 10189, 1341]",1341,3,12,8,80813.6707574361,80983.13510676922,80805.82964051947,80977.90769549145
"(1, 9, 15)",80801.7451367628,80974.84401871965,"[1967, 15031, 7675, 3855]",1967,3,12,8,80813.7451367628,80982.84401871965,80805.90401984616,80977.61660744189
"(9, 10, 13)",80801.75029934975,80972.55311288199,"[16998, 1551, 4014, 5965]",1551,3,12,8,80813.75029934975,80980.55311288199,80805.90918243311,80975.32570160422
"(9, 10, 15)",80802.18037957729,80971.6310573536,"[16998, 1551, 6124, 3855]",1551,3,12,8,80814.18037957729,80979.6310573536,80806.33926266065,80974.40364607584
"(9, 10, 14)",80802.61061636673,80972.60165072847,"[16998, 1551, 5118, 4861]",1551,3,12,8,80814.61061636673,80980.60165072847,80806.76949945009,80975.3742394507
"(1, 9, 14)",80802.7344158887,80976.3667705743,"[1967, 15031, 6669, 4861]",1967,3,12,8,80814.7344158887,80984.3667705743,80806.89329897206,80979.13935929653
"(9, 13)",80805.97457478018,80975.03337113367,"[16998, 5565, 5965]",5565,2,9,6,80814.97457478018,80981.03337113367,80809.0937370927,80977.11281267535
"(1, 9, 12)",80803.0804574442,80974.13687377422,"[1967, 15031, 4337, 7193]",1967,3,12,8,80815.0804574442,80982.13687377422,80807.23934052757,80976.90946249645
"(1, 9, 16)",80803.17016584185,80975.4869684859,"[1967, 15031, 8586, 2944]",1967,3,12,8,80815.17016584185,80983.4869684859,80807.32904892521,80978.25955720813
"(9, 10, 16)",80803.17667489071,80971.86006486401,"[16998, 1551, 7035, 2944]",1551,3,12,8,80815.17667489071,80979.86006486401,80807.33555797407,80974.63265358625
"(9, 18)",80806.36369754668,80974.52559911372,"[16998, 10189, 1341]",1341,2,9,6,80815.36369754668,80980.52559911372,80809.4828598592,80976.6050406554
"(1, 9, 10)",80803.3937633113,80972.37887116453,"[1967, 15031, 1551, 9979]",1551,3,12,8,80815.3937633113,80980.37887116453,80807.55264639466,80975.15145988677
"(1, 9, 11)",80803.40060365797,80973.70892973198,"[1967, 15031, 2997, 8533]",1967,3,12,8,80815.40060365797,80981.70892973198,80807.55948674133,80976.48151845421
"(9, 15)",80806.43807687337,80974.23451106418,"[16998, 7675, 3855]",3855,2,9,6,80815.43807687337,80980.23451106418,80809.55723918589,80976.31395260585
"(9, 13, 18)",80803.45933238149,80974.2760929008,"[16998, 5565, 4624, 1341]",1341,3,12,8,80815.45933238149,80982.2760929008,80807.61821546486,80977.04868162304
"(9, 10, 17)",80803.68423763578,80972.28434790547,"[16998, 1551, 7870, 2109]",1551,3,12,8,80815.68423763578,80980.28434790547,80807.84312071915,80975.0569366277
"(9, 11, 18)",80803.75241780753,80971.9348690953,"[16998, 2997, 7192, 1341]",1341,3,12,8,80815.75241780753,80979.9348690953,80807.91130089089,80974.70745781754
"(1, 10, 18)",80803.80859022267,80978.29620291965,"[1967, 16582, 8638, 1341]",1341,3,12,8,80815.80859022267,80986.29620291965,80807.96747330604,80981.06879164188
