source,year,n,frac_zero,mean_prod,median_prod,mean_log_prod,var_log_prod,mean_log_prod_pos,var_log_prod_pos,q25_prod,q50_prod,q75_prod,q90_prod,q95_prod
empirical,15,911,0.145993413830955,6.447883566868445,4.506202862209754,1.4244776761004438,1.2804405814441955,1.6721339581103158,0.7225555344911148,1.6728094678460528,4.506202862209754,8.722901342606107,15.25446493496068,19.95734445795148
empirical,16,835,0.14491017964071856,6.476815201203444,4.630756362917854,1.446363271580316,1.272206178217366,1.69738862145799,0.6998080060201453,1.7363789006703432,4.630756362917854,9.613207969727217,14.203088125770726,18.670776890505195
empirical,17,768,0.1796875,6.185386623160944,4.493036099511478,1.3451354785490652,1.4017047068146546,1.6784288350468408,0.7188099798128458,1.4025962619724166,4.493036099511478,8.642192251976827,14.593812613608073,18.531566387559682
empirical,18,701,0.16262482168330955,6.493360249260199,4.361450671303054,1.39633279364949,1.362541086857479,1.6900341598763091,0.7312280389630939,1.5558980742087662,4.361450671303054,9.012405724419509,15.020676207365844,20.07371361415263
empirical,19,640,0.1625,6.366103552344216,4.630756362917854,1.3826608555705777,1.358436530480797,1.670112603421113,0.7486563026776826,1.4510313998257118,4.630756362917854,8.687967977252354,15.43757944365653,20.941503236221767
empirical,20,591,0.15905245346869712,6.547802636390854,4.493036099511478,1.390287028273233,1.3874300597959026,1.6655558403432562,0.8138871779005681,1.35658569996413,4.493036099511478,9.189866949514972,15.558980742087662,21.24646512451875
zhang_arw4,0,10000,0.0,4.483452269137636,3.1467792145297855,1.231712303252985,0.8018782792682781,0.921889920419174,1.6683722593512884,1.291283873305673,3.1467792145297855,6.187675139457484,10.175991045904631,13.210842397884184
zhang_arw4,1,10000,0.0,6.215163915208522,4.837415434685351,1.5720694453268662,0.7511257023409755,1.3711605138838343,1.280219420592197,2.2352700606814593,4.837415434685351,8.627179038703538,13.499175270411175,16.938474459677373
zhang_arw4,2,10000,0.0,7.232106879531282,5.747165745280611,1.7295382610265853,0.7301601942801327,1.562230446787093,1.1691172105153709,2.83378514725804,5.747165745280611,10.013395920473657,15.109351344696227,18.772957475025468
zhang_arw4,3,10000,0.0,7.914965244774365,6.490754873256007,1.823327195061426,0.7258300393271102,1.668927423706428,1.1568916916262986,3.2564165759507833,6.490754873256007,11.079882178845203,16.364293708349134,19.878444909256007
zhang_arw4,4,10000,0.0,8.265287119748903,6.833365461180026,1.8710009360633932,0.7106363425756045,1.7265399858863133,1.1060224330932606,3.4207821265024734,6.833365461180026,11.565741069945066,16.817765772842865,20.492302076349365
zhang_arw4,5,10000,0.0,7.859276460194975,6.537384273234453,1.8266326512724662,0.6983157249826738,1.6792049071942599,1.0760883653702857,3.2828317465891725,6.537384273234453,10.861738136243323,15.984024134778794,19.78395157706616
zhang_arw4,6,10000,0.0,7.502784404332481,6.21378137263305,1.7885287485944463,0.6827239843863108,1.6355910982042512,1.0762647626433206,3.1174593988127537,6.21378137263305,10.50652834111677,15.296517322189963,18.680238977015872
zhang_arw4,7,10000,0.0,7.435119966281317,6.10474828313595,1.7756497373257905,0.6919597347883584,1.6180241111168872,1.11281273126532,3.086649526282769,6.10474828313595,10.289885555214768,15.385508065203163,19.077281568010356
zhang_arw4,8,10000,0.0,6.938297752615298,5.732506261958477,1.7171260795524053,0.6805374895466839,1.5490478875404103,1.1259478823765732,2.9256148197549514,5.732506261958477,9.71175856284839,14.355965958254492,17.269686999079447
zhang_arw4,9,10000,0.0,6.731261438031509,5.583923446598057,1.6852556899518787,0.6835296289601714,1.5142030526617394,1.117600059256645,2.73969755434975,5.583923446598057,9.570966213169836,13.8070365276569,16.840729658321717
zhang_arw4,10,10000,0.0,6.642261873590975,5.513982233528728,1.681098371097909,0.6677327670654,1.5086419145426957,1.1137145261041783,2.804079754168596,5.513982233528728,9.307452333496277,13.465070399888557,16.38799528766136
zhang_arw4,11,10000,0.0,6.512277123508265,5.289445760201708,1.6665310976270309,0.6451181221778282,1.4986910278088321,1.0463246869834013,2.741975292560256,5.289445760201708,9.041325596163226,13.272884309335696,16.570530360629128
zhang_arw4,12,10000,0.0,6.449968630800322,5.303997277145417,1.651267238661434,0.6671414003241681,1.4761451029320098,1.1020204259529764,2.6948749611823506,5.303997277145417,8.978587668590038,13.331460707757273,16.250790257010554
zhang_arw4,13,10000,0.0,6.496661720051775,5.382620091902126,1.6631404861015522,0.6565024687446761,1.4903352008277715,1.0917921456037052,2.7378736545234705,5.382620091902126,9.1496247304477,13.151349785116969,16.08481659911193
zhang_arw4,14,10000,0.0,6.374275416570704,5.295843703512647,1.6451462272676995,0.6576668963671081,1.4689230280626004,1.0979125451340304,2.640494284408685,5.295843703512647,8.888518395427049,13.015820745308208,15.849391280995118
zhang_arw4,15,10000,0.0,6.306900334887535,5.184870177778281,1.6360232353391793,0.6504578780348398,1.4606304701012258,1.0756677398162824,2.6134245570136505,5.184870177778281,8.849477288305746,12.95753260233159,15.610287397711291
zhang_arw4,16,10000,0.0,6.392637887148365,5.33346954947287,1.6598459165387918,0.62659999571924,1.491168476155927,1.033243277130815,2.74265613452075,5.33346954947287,8.917762375038201,12.965579906354254,15.663462982797014
zhang_arw4,17,10000,0.0,6.2792530266424915,5.264763013339008,1.6454162916031636,0.6231108108428691,1.4751512972575016,1.0221843536875026,2.75279481312487,5.264763013339008,8.674699817200556,12.775287354845656,15.49344194722496
zhang_arw4,18,10000,0.0,6.27602163851075,5.2478788790166515,1.6420133897440592,0.6310432440494291,1.4678823925557902,1.057527058866297,2.694713520888746,5.2478788790166515,8.83872978385989,12.689540413552379,15.298926027866601
zhang_arw4,19,10000,0.0,6.267960520540438,5.249133889724224,1.6379426753858668,0.6384427964162783,1.4626500119322188,1.0693195347501272,2.675012394229576,5.249133889724224,8.812502046285735,12.732917994403248,15.442701418154035
zhang_arw4,20,10000,0.0,6.270681087710547,5.215596936964751,1.627833155110612,0.6585317653538139,1.4475829552918695,1.1153414358141738,2.584103642570803,5.215596936964751,8.75491381559231,12.698532058517602,15.821653388798534
