source,stage,n,mu_hat,alpha_hat,ks_stat,mean,sd,q01,q50,q99,transition,transition_label,emp_q01,emp_q99,frac_outside_emp_1_99
empirical,D. years 8-20,1526,2.7131713999282603,1.8991320159277125,0.20925337118669748,3.6447450343216627,3.042125543308222,1.0589091392016494,2.7131713999282603,17.778756193753477,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,
Hurdle-AR(1)-GRW-P-SE,D. years 8-20,11242,2.910766327055202,2.9419843249207447,0.18594520755232943,4.231440636267328,4.2785302857697465,0.042234584248780356,2.910766327055202,19.51886788713857,inactive_to_active,inactive → active,1.0589091392016494,17.778756193753477,0.2386586016723003
empirical,B. years 1-4,642,-3.6510522137856363,2.4839941465824222,0.18013198997463364,-4.898404476087769,3.845451849434643,-18.39468275734683,-3.6510522137856363,-1.2315514575691924,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,
Hurdle-AR(1)-GRW-P-SE,B. years 1-4,3096,-3.092943045379537,2.447055270345517,0.14144295749495894,-4.179322626220282,3.9368213151705524,-18.231852572330883,-3.092943045379537,-0.14588873800623597,active_to_inactive,active → inactive,-18.39468275734683,-1.2315514575691924,0.15503875968992248
empirical,C. years 5-7,469,-3.902056991355255,2.836702639140921,0.18560080891455433,-5.185206539731839,4.451195285059027,-21.92704540462478,-3.902056991355255,-1.1466714696569538,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,
Hurdle-AR(1)-GRW-P-SE,C. years 5-7,2408,-3.4985947833098696,2.4709000639034193,0.12246124362882771,-4.495405629118823,3.8508684289168937,-20.28452759730934,-3.4985947833098696,-0.17828247862122876,active_to_inactive,active → inactive,-21.92704540462478,-1.1466714696569538,0.09883720930232558
empirical,D. years 8-20,1444,-2.9143644012641174,1.8543443374484385,0.18697428255601967,-3.7597346801358373,2.881083824024215,-14.619694875386537,-2.9143644012641174,-1.1232590248778695,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,
Hurdle-AR(1)-GRW-P-SE,D. years 8-20,11907,-2.7745595906310703,2.246089519494994,0.14589410776501832,-3.789971374840277,3.6361939745206535,-17.29205698456771,-2.7745595906310703,-0.147667930161322,active_to_inactive,active → inactive,-14.619694875386537,-1.1232590248778695,0.16628873771730915
empirical,B. years 1-4,459,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-P-SE,B. years 1-4,2351,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,C. years 5-7,324,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-P-SE,C. years 5-7,1663,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
empirical,D. years 8-20,1370,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,
Hurdle-AR(1)-GRW-P-SE,D. years 8-20,10850,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,inactive_to_inactive,inactive → inactive,0.0,0.0,0.0
